Denomination_ID,Denomination_Name,Mode,ToleranceScore,Theol_Cons_Lib_avg,Social_Cons_Lib_avg,Counter_Pro_Modern_avg,Super_Nat_avg,Cult_Sep_Eng_avg,Cleric_Egal_avg,Div_Hum_Agency_avg,Commun_Indiv_avg,Liturg_Spont_avg,Sacram_Funct_avg,Literal_Crit_avg,Intellect_Exper_avg
DENOM_187,Seventh-day Adventist Church,quick,22.287,34.155,33.245,48.461,50.321,31.875,71.248,51.341,80.38,66.911,82.229,29.915,44.699
DENOM_187,Seventh-day Adventist Church,standard,22.376,33.61,33.245,47.447,50.103,31.875,71.248,51.213,80.38,66.911,82.229,29.918,44.699
DENOM_187,Seventh-day Adventist Church,deep,22.376,33.61,33.245,47.447,50.103,31.875,71.248,51.213,80.38,66.911,82.229,29.918,44.699
DENOM_120,Unitarian Universalism (UUA),quick,76.502,99.688,98.725,99.812,99.605,97.167,94.035,100,76.24,91.537,98.059,97.945,64.939
DENOM_120,Unitarian Universalism (UUA),standard,76.502,99.688,98.725,99.812,99.605,97.167,94.035,100,76.24,91.537,98.059,97.945,64.939
DENOM_120,Unitarian Universalism (UUA),deep,76.502,99.688,98.725,99.812,99.605,97.167,94.035,100,76.24,91.537,98.059,97.945,64.939
DENOM_229,Progressive Christianity,quick,91.269,92.083,98.606,90.924,89.657,95.932,90.394,88.422,81.242,77.833,94.592,92.033,54.647
DENOM_229,Progressive Christianity,standard,91.545,92.045,98.606,91.073,89.334,95.932,90.394,87.903,81.242,77.833,94.592,92,54.647
DENOM_229,Progressive Christianity,deep,91.545,92.045,98.606,91.073,89.334,95.932,90.394,87.903,81.242,77.833,94.592,92,54.647
DENOM_157,The Salvation Army,quick,31.098,37.855,59.762,51.141,49.129,55.825,77.253,49.798,80.931,77.497,85.628,39.597,47.055
DENOM_157,The Salvation Army,standard,31.387,37.354,59.762,50.331,48.997,55.825,77.253,49.812,80.931,77.497,85.628,39.346,47.055
